name,symbol,description
HDFC LTD,NSE:HDFC-EQ,"A financial services conglomerate providing housing finance, banking, insurance, and asset management"
HDFC BANK LTD,NSE:HDFCBANK-EQ,A private sector bank offering a range of financial products and services
ICICI LOMBARD GIC LIMITED,NSE:ICICIGI-EQ,A general insurance company offering a range of insurance products and services
BAJAJ FINSERV LTD.,NSE:BAJAJFINSV-EQ,"A financial services company offering lending, insurance, and investment products"
AXIS BANK LIMITED,NSE:AXISBANK-EQ,A private sector bank offering a range of banking and financial services
AU SMALL FINANCE BANK LTD,NSE:AUBANK-EQ,Banking and financial services provider for micro and small businesses and retail customers
BANDHAN BANK LIMITED,NSE:BANDHANBNK-EQ,Banking and financial services provider for micro and small businesses and retail customers
CHOLAMANDALAM IN & FIN CO,NSE:CHOLAFIN-EQ,Banking and financial services provider for retail and corporate customers
POWER FIN CORP LTD.,NSE:PFC-EQ,A financial institution that provides funding for the power sector in India.
HDFC AMC LIMITED,NSE:HDFCAMC-EQ,A subsidiary of HDFC Bank that provides asset management services.
HDFC LIFE INS CO LTD,NSE:HDFCLIFE-EQ,A life insurance company that provides a range of insurance products and services.
BAJAJ FINANCE LIMITED,NSE:BAJFINANCE-EQ,"A non-banking financial company (NBFC) that provides a range of financial products and services, including loans, insurance, and investment services."
ICICI BANK LTD.,NSE:ICICIBANK-EQ,A private sector bank that provides a range of financial products and services.
IDFC FIRST BANK LIMITED,NSE:IDFCFIRSTB-EQ,"A commercial bank that provides a range of banking products and services, including savings accounts, loans, and credit cards."
INDUSIND BANK LIMITED,NSE:INDUSINDBK-EQ,A private sector bank that provides a range of banking products and services.
PIRAMAL ENTERPRISES LTD,NSE:PEL-EQ,"Diversified conglomerate with interests in pharmaceuticals, financial services, real estate, and glass packaging solutions."
RBL BANK LIMITED,NSE:RBLBANK-EQ,"Private sector bank offering a range of banking and financial products and services to individuals, corporations, and SMEs in India."
KOTAK MAHINDRA BANK LTD,NSE:KOTAKBANK-EQ,Private sector bank offering a range of banking and financial products and services to individuals and corporations in India.
MUTHOOT FINANCE LIMITED,NSE:MUTHOOTFIN-EQ,Non-Banking Financial Company
PUNJAB NATIONAL BANK,NSE:PNB-EQ,Banking and financial services company
STATE BANK OF INDIA,NSE:SBIN-EQ,Banking and financial services company
REC LIMITED,NSE:RECLTD-EQ,Infrastructure finance company
ICICI PRU LIFE INS CO LTD,NSE:ICICIPRULI-EQ,Life insurance company
SBI LIFE INSURANCE CO LTD,NSE:SBILIFE-EQ,Life insurance company
FEDERAL BANK LTD,NSE:FEDERALBNK-EQ,"The Federal Bank Limited is a private sector commercial bank, providing a range of banking and financial services to individuals, small and medium-sized businesses, corporate customers, and NRI customers."
